Date,Close,macd_regime,rsi_saturation,cvd_regime,volume_injection,vwap_distance_pct,gamma_flip_distance_pct,regime_label,rupture_pressure_score,T_a,T_a_norm,T_a_regime,R_o,T_v,observer_profile,LRP,LRP_raw,LRP_regime,LRP_confidence,lrp_contrib_T_a,lrp_contrib_observer,lrp_contrib_gamma,lrp_contrib_vwap,lrp_contrib_cvd,lrp_contrib_macd,d_macd_pressure,d_rsi_energy,d_cvd_force,d_volume_energy,d_vwap_attractor_distance,d_gamma_flip_distance,d_canopy_pressure,d_observability_R_o,d_visibility_horizon_T_v,dd_canopy_pressure,dd_observability_R_o,dd_coherence_proxy,d_R_o,d_T_v,d_vwap_distance
2020-09-14,338.46,DECEL_DOWN,NEUTRAL_BAND,IMBALANCE_BUILDING,0.9314769897112878,-1.171391808509138,-118.63735744253385,PRESSURE_BUILDING,0.4191646453700795,-0.07223327671922003,-0.21123184509175216,CRUISE,0.5867319436376534,2.9,pilot,0.1982292630814789,0.1506503880986521,STABLE,HIGH_CONFIDENCE,0.0,0.08265361127246934,0.0,0.0585695904254569,0.013900262937927982,0.01607015820352316,0.23427677885955722,-0.09632795729617968,0.5877434868170925,-0.28668657371296136,1.2924942352241773,2.879735295297678,-0.12900895817083263,0.21730299627562444,-2.3000000000000003,-0.07223327671922003,0.23454441064299714,-0.034331277572702046,0.21730299627562444,-2.3000000000000003,1.2924942352241773
2020-09-15,340.17,DECEL_DOWN,NEUTRAL_BAND,BUY_FORCE_DOMINANT,0.7421875580701137,-0.6822671748085866,-117.53828967869006,PRESSURE_BUILDING,0.2968750232280455,0.006719336028798595,0.01974630967214936,CRUISE,0.5359139107326711,3.4,pilot,0.23232590312917947,0.2011939626841829,STABLE,HIGH_CONFIDENCE,0.0031594095475438976,0.09281721785346578,0.0,0.034113358740429325,0.07633037692613966,0.022209139982629175,0.3373632244802067,0.029891575622077653,0.4682258549115876,-0.18928943164117407,0.48912463370055137,1.0990677638437916,-0.12228962214203404,-0.05081803290498221,0.5,0.006719336028798595,-0.26812102918060665,-0.071699911378038,-0.05081803290498221,0.5,0.48912463370055137
2020-09-16,338.82,DECEL_DOWN,NEUTRAL_BAND,FORCE_BALANCED,1.1188591323027244,-1.071490687351956,-118.40505283041142,PRESSURE_BUILDING,0.3916006963059535,0.21701529521994206,0.6351788762332137,ACCELERATION_POSITIVE,0.6009065265181018,2.8,pilot,0.2579493144289859,0.23583638992269143,STABLE,HIGH_CONFIDENCE,0.10162862019731418,0.07981869469637964,0.0,0.0535745343675978,0.011042227756247643,0.012453877932885656,0.19325868843833938,-0.030158394974130687,-0.4896611187741901,0.37667157423261066,-0.3892235125433695,-0.8667631517213579,0.09472567307790802,0.0649926157854307,-0.6000000000000001,0.21701529521994206,0.11581064869041291,0.2771337195671474,0.0649926157854307,-0.6000000000000001,-0.3892235125433695
2020-09-17,335.84,DECEL_DOWN,NEUTRAL_BAND,FORCE_BALANCED,1.226012772398037,-1.879995241749717,-120.3430204859457,CONTAINMENT_STRESS,0.4291044703393129,-0.05722189904454861,-0.16838062742253246,CRUISE,0.5581258556653536,3.2,pilot,0.21679646897037874,0.1788915956812332,STABLE,HIGH_CONFIDENCE,0.0,0.0883748288669293,0.0,0.09399976208748585,0.010527943311481155,0.00046837902535282075,-0.007407384507628123,0.060024680891314394,-0.00385713333574865,0.10715364009531259,-0.8085045543977609,-1.9379676555342797,0.037503774033359416,-0.04278067085274828,0.40000000000000036,-0.05722189904454861,-0.10777328663817898,-0.24187971378977868,-0.04278067085274828,0.40000000000000036,-0.8085045543977609
2020-09-18,330.65,DECEL_DOWN,NEUTRAL_BAND,SELL_FORCE_DOMINANT,1.3602914668565116,-3.2237301185919884,-123.80160290337217,CONTAINMENT_STRESS,0.47610201339977903,0.009493769027106691,0.02936897702748402,CRUISE,0.5463143964388001,3.3,pilot,0.30883693459508327,0.2986094093132396,PRESSURE_BUILDING,HIGH_CONFIDENCE,0.004699036324397443,0.09073712071224,0.0,0.15,0.055189066705573046,0.016627552578345778,-0.2700032479638468,0.101751556690389,-0.4928775751279065,0.13427869445847462,-1.3437348768422714,-3.45858241742647,0.04699754306046611,-0.011811459226553467,0.09999999999999964,0.009493769027106691,0.030969211626194815,0.34137758890507963,-0.011811459226553467,0.09999999999999964,-1.3437348768422714
2020-09-21,326.97,DECEL_DOWN,ENERGY_RELEASING,SELL_FORCE_DOMINANT,1.242329010297641,-4.041476231696181,-126.32045753433034,CONTAINMENT_STRESS,0.37269870308929226,-0.15040085337095288,-0.48335621952909813,THRUST_LOSS,0.5448142464530906,3.3,pilot,0.3416070328224406,0.33596477049273943,PRESSURE_BUILDING,HIGH_CONFIDENCE,0.0,0.09103715070938188,0.0,0.15,0.1,0.01902303413983049,-0.3196326938311169,0.06396265124282507,-0.4009092906843119,-0.11796245655887061,-0.8177461131041923,-2.518854630958174,-0.10340331031048677,-0.0015001499857094647,0.0,-0.15040085337095288,0.010311309240844002,-0.1311636923830113,-0.0015001499857094647,0.0,-0.8177461131041923
2020-09-22,330.3,DECEL_DOWN,NEUTRAL_BAND,SELL_FORCE_DOMINANT,0.7872483998865464,-2.923765479524257,-124.03875264910687,PRESSURE_BUILDING,0.1968120999716366,-0.07248329280716889,-0.23517621276810574,CRUISE,0.4638189214738191,4.2,pilot,0.32628401070990765,0.31873988983975204,PRESSURE_BUILDING,HIGH_CONFIDENCE,0.0,0.10723621570523618,0.0,0.14618827397621284,0.1,0.006949473298029355,0.11854840112378717,-0.08525323778404639,0.034037381044623616,-0.4550806104110946,1.1177107521719236,2.2817048852234763,-0.17588660311765567,-0.08099532497927153,0.9000000000000004,-0.07248329280716889,-0.07949517499356207,-0.13943671334869723,-0.08099532497927153,0.9000000000000004,1.1177107521719236
2020-09-23,322.64,DECEL_DOWN,ENERGY_RELEASING,SELL_FORCE_DOMINANT,1.1146422029238896,-4.92133953995234,-129.3577981651376,PRESSURE_BUILDING,0.2786605507309724,0.25773505387699147,0.8217770719537661,TAKEOFF_BEGINNING,0.5520505217299263,3.2,pilot,0.4518152030245585,0.4516652006267997,PRESSURE_BUILDING,HIGH_CONFIDENCE,0.1314843315126026,0.08958989565401475,0.0,0.15,0.1,0.017869476819223743,-0.30947862895610756,0.12573444062386896,-0.0005594274640223773,0.3273938030373432,-1.9975740604280832,-5.319045516030741,0.0818484507593358,0.08823160025610721,-1.0,0.25773505387699147,0.16922692523537874,0.06875000000000009,0.08823160025610721,-1.0,-1.9975740604280832
2020-09-24,323.5,DECEL_DOWN,ENERGY_RELEASING,SELL_FORCE_DOMINANT,0.9039401535040111,-4.403847684625375,-128.74806800618236,PRESSURE_BUILDING,0.18078803070080224,-0.17972097078950597,-0.5804994914089628,THRUST_LOSS,0.4828925756436322,4.0,pilot,0.2889021613485088,0.27481951532660825,STABLE,HIGH_CONFIDENCE,0.0,0.10342148487127356,0.0,0.15,0.049714283792236504,0.0007092001731842282,-0.012202260890655126,-0.02211432586507639,0.4084922089537347,-0.21070204941987847,0.5174918553269654,0.6097301589552444,-0.09787252003017016,-0.06915794608629411,0.7999999999999998,-0.17972097078950597,-0.15738954634240132,-0.08156944654468523,-0.06915794608629411,0.7999999999999998,0.5174918553269654
2020-09-25,328.73,DECEL_DOWN,NEUTRAL_BAND,FORCE_BALANCED,0.8313977911138235,-2.6215430771415815,-125.1087518632312,PRESSURE_BUILDING,0.16627955822276472,0.08336404755213264,0.26925167027311,ACCELERATION_POSITIVE,0.4324248335868808,4.5,pilot,0.29976030501571616,0.287890118545325,STABLE,HIGH_CONFIDENCE,0.043080267243697595,0.11351503328262386,0.0,0.13107715385707908,0.005864729628808208,0.0278520638006145,0.45928101380805364,-0.12772631831771092,0.4168426006578353,-0.07254236239018763,1.7823046074837934,3.6393161429511593,-0.01450847247803752,-0.05046774205675142,0.5,0.08336404755213264,0.01869020402954269,0.09350956929819687,-0.05046774205675142,0.5,1.7823046074837934
